Index,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
1,PHQ,,,,,,
2,"Ranges, Commissionerate and Districts",,,,,,
2.1.,,Gurugram Commissionerate,,,,,
2.1.1.,,,Gurugram District,,,,
2.1.1.1.,,,,CP Office,,,
2.1.1.2.,,,,Joint CP Office,,,
2.1.1.3.,,,,Zones,,,
2.2.1.3.3.,,,,,Ballabhgarh Zone,,
2.2.1.3.3.1.,,,,,,BALLABHGARH CITY,
2.2.1.3.3.2.,,,,,,BALLABHGARH SADAR,
2.2.1.3.3.3.,,,,,,CHHANSA,
2.2.1.3.3.4.,,,,,,TIGAON,
2.2.1.3.3.5.,,,,,,TRAFFIC,
2.2.1.3.3.6.,,,,,,SECTOR - 8,
2.2.1.3.3.7.,,,,,,Women Police Station Ballabgarh,
2.2.1.3.3.8.,,,,,,ADARSH NAGAR,
2.2.1.3.3.9.,,,,,,PS Cyber Crime Ballabgarh,
2.2.1.3.3.10.,,,,,,ABVT STAFF,
2.2.1.3.3.11.,,,,,,ADR Centre,
2.2.1.3.3.12.,,,,,,ANC,
2.2.1.3.3.13.,,,,,,Challaning Branch,
2.2.1.3.3.14.,,,,,,CIA,
2.2.1.3.3.15.,,,,,,Couple Protection Cell,
2.2.1.3.3.16.,,,,,,Court Security,
2.2.1.3.3.17.,,,,,,Deputation,
2.2.1.3.3.18.,,,,,,DPO,
2.2.1.3.3.19.,,,,,,EOW,
2.2.1.3.3.20.,,,,,,GO Staffs,
2.2.1.3.3.21.,,,,,,Gunmen,
2.2.1.3.3.22.,,,,,,Head Proficient,
2.2.1.3.3.23.,,,,,,Judicial Lockup,
2.2.1.3.3.24.,,,,,,Missing Person Cell,
2.2.1.3.3.25.,,,,,,Naib Court,
2.2.1.3.3.26.,,,,,,Naib Court (Civil),
2.2.1.3.3.27.,,,,,,Pairvi Cell,
2.2.1.3.3.28.,,,,,,PO STAFF,
2.2.1.3.3.29.,,,,,,Police Lines,
2.2.1.3.3.30.,,,,,,Prisoner Escort Guard,
2.2.1.3.3.31.,,,,,,PS TRAFFIC,
2.2.1.3.3.32.,,,,,,Standing Guard,
2.2.1.3.3.33.,,,,,,Summon Staff,
2.2.1.3.3.34.,,,,,,Temporary Posting (with order),
2.2.1.3.3.35.,,,,,,Temporary Posting (without order),
2.2.1.3.3.36.,,,,,,TRAFFIC,
2.2.1.3.3.37.,,,,,,Training Courses,
2.2.1.3.4.,,,,,HQ,,
2.2.1.3.5.,,,,,Crime,,
2.2.1.3.6.,,,,,Traffic,,
2.3.,,Panchkula Commissionerate,,,,,
2.3.1.,,,Panchkula District,,,,
2.3.1.1.,,,,,,CHANDIMANDIR,
2.3.1.2.,,,,,,CYBER CRIME,
2.3.1.3.,,,,,,KALKA,
2.3.1.4.,,,,,,MANSA DEVI COMPLEX,
2.3.1.5.,,,,,,"Nodal Cyber Crime Police Station, Haryana",
2.3.1.6.,,,,,,PANCHKULA SECTOR-5,
2.3.1.7.,,,,,,PINJORE,
2.3.1.8.,,,,,,RAIPUR RANI,
2.3.1.9.,,,,,,"SECTOR-14, PANCHKULA",
2.3.1.10.,,,,,,SECTOR-20,
2.3.1.11.,,,,,,"SECTOR-7, PANCHKULA",
2.3.1.12.,,,,,,"WOMEN POLICE STATION, PANCHKULA",
2.3.1.13.,,,,,,ABVT STAFF,
2.3.1.14.,,,,,,ADR Centre,
2.3.1.15.,,,,,,ANC,
2.3.1.16.,,,,,,Challaning Branch,
2.3.1.17.,,,,,,CIA,
2.3.1.18.,,,,,,Couple Protection Cell,
2.3.1.19.,,,,,,Court Security,
2.3.1.20.,,,,,,Deputation,
2.3.1.21.,,,,,,DPO,
2.3.1.22.,,,,,,EOW,
2.3.1.23.,,,,,,GO Staffs,
2.3.1.24.,,,,,,Gunmen,
2.3.1.25.,,,,,,Head Proficient,
2.3.1.26.,,,,,,Judicial Lockup,
2.3.1.27.,,,,,,Missing Person Cell,
2.3.1.28.,,,,,,Naib Court,
2.3.1.29.,,,,,,Naib Court (Civil),
2.3.1.30.,,,,,,Pairvi Cell,
2.3.1.31.,,,,,,PO STAFF,
2.3.1.32.,,,,,,Police Lines,
2.3.1.33.,,,,,,Prisoner Escort Guard,
2.3.1.34.,,,,,,PS TRAFFIC,
2.3.1.35.,,,,,,Standing Guard,
2.3.1.36.,,,,,,Summon Staff,
2.3.1.37.,,,,,,Temporary Posting (with order),
2.3.1.38.,,,,,,Temporary Posting (without order),
2.3.1.39.,,,,,,TRAFFIC,
2.3.1.40.,,,,,,Training Courses,
2.3.1.1.,,,,CP Office,,,
2.3.1.2.,,,,Zones,,,
2.3.1.2.1.,,,,,Panchkula Zone,,
2.3.1.2.2.,,,,,Traffic and Crime,,
2.4.,,Sonipat Commissionerate,,,,,
2.4.1.,,,Sonipat District,,,,
2.4.1.1.,,,,CP Office,,,
2.4.1.2.,,,,Zones,,,
2.4.1.2.1.,,,,,East Zone,,
2.4.1.2.1.1.,,,,,,GANNAUR,
2.4.1.2.1.2.,,,,,,KUNDLI,
2.4.1.2.1.3.,,,,,,MURTHAL,
2.4.1.2.1.4.,,,,,,RAI,
2.4.1.2.1.5.,,,,,,TRAFFIC,
2.4.1.2.1.6.,,,,,,HSIDC BARHI,
2.4.1.2.1.7.,,,,,,BAHALGARH,
2.4.1.2.1.8.,,,,,,ABVT STAFF,
2.4.1.2.1.9.,,,,,,ADR Centre,
2.4.1.2.1.10.,,,,,,ANC,
2.4.1.2.1.11.,,,,,,Challaning Branch,
2.4.1.2.1.12.,,,,,,CIA,
2.4.1.2.1.13.,,,,,,Couple Protection Cell,
2.4.1.2.1.14.,,,,,,Court Security,
2.4.1.2.1.15.,,,,,,Deputation,
2.4.1.2.1.16.,,,,,,DPO,
2.4.1.2.1.17.,,,,,,EOW,
2.4.1.2.1.18.,,,,,,GO Staffs,
2.4.1.2.1.19.,,,,,,Gunmen,
2.4.1.2.1.20.,,,,,,Head Proficient,
2.4.1.2.1.21.,,,,,,Judicial Lockup,
2.4.1.2.1.22.,,,,,,Missing Person Cell,
2.4.1.2.1.23.,,,,,,Naib Court,
2.4.1.2.1.24.,,,,,,Naib Court (Civil),
