Index,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
1,PHQ,,,,,,
2,"Ranges, Commissionerate and Districts",,,,,,
2.1.,,Gurugram Commissionerate,,,,,
2.1.1.,,,Gurugram District,,,,
2.1.1.1.,,,,CP Office,,,
2.1.1.2.,,,,Joint CP Office,,,
2.1.1.3.,,,,Zones,,,
2.9.1.35.,,,,,,PO STAFF,
2.9.1.36.,,,,,,Police Lines,
2.9.1.37.,,,,,,Prisoner Escort Guard,
2.9.1.38.,,,,,,PS TRAFFIC,
2.9.1.39.,,,,,,Standing Guard,
2.9.1.40.,,,,,,Summon Staff,
2.9.1.41.,,,,,,Temporary Posting (with order),
2.9.1.42.,,,,,,Temporary Posting (without order),
2.9.1.43.,,,,,,TRAFFIC,
2.9.1.44.,,,,,,Training Courses,
2.9.2.,,,Dadri District,,,,
2.9.2.1.,,,,,,BADHRA,
2.9.2.2.,,,,,,BOND KALAN,
2.9.2.3.,,,,,,DADRI CITY,
2.9.2.4.,,,,,,DADRI SADAR,
2.9.2.5.,,,,,,JHOJHU KALAN,
2.9.2.6.,,,,,,"PS Cyber Crime, Charkhi Dadri",
2.9.2.7.,,,,,,"Women Police Station, Charkhi Dadri",
2.9.2.8.,,,,,,ABVT STAFF,
2.9.2.9.,,,,,,ADR Centre,
2.9.2.10.,,,,,,ANC,
2.9.2.11.,,,,,,Challaning Branch,
2.9.2.12.,,,,,,CIA,
2.9.2.13.,,,,,,Couple Protection Cell,
2.9.2.14.,,,,,,Court Security,
2.9.2.15.,,,,,,Deputation,
2.9.2.16.,,,,,,DPO,
2.9.2.17.,,,,,,EOW,
2.9.2.18.,,,,,,GO Staffs,
2.9.2.19.,,,,,,Gunmen,
2.9.2.20.,,,,,,Head Proficient,
2.9.2.21.,,,,,,Judicial Lockup,
2.9.2.22.,,,,,,Missing Person Cell,
2.9.2.23.,,,,,,Naib Court,
2.9.2.24.,,,,,,Naib Court (Civil),
2.9.2.25.,,,,,,Pairvi Cell,
2.9.2.26.,,,,,,PO STAFF,
2.9.2.27.,,,,,,Police Lines,
2.9.2.28.,,,,,,Prisoner Escort Guard,
2.9.2.29.,,,,,,PS TRAFFIC,
2.9.2.30.,,,,,,Standing Guard,
2.9.2.31.,,,,,,Summon Staff,
2.9.2.32.,,,,,,Temporary Posting (with order),
2.9.2.33.,,,,,,Temporary Posting (without order),
2.9.2.34.,,,,,,TRAFFIC,
2.9.2.35.,,,,,,Training Courses,
2.9.3.,,,Bhiwani District,,,,
2.9.3.1.,,,,,,BAWANI KHERA,
2.9.3.2.,,,,,,BEHAL,
2.9.3.3.,,,,,,BHIWANI CITY,
2.9.3.4.,,,,,,BHIWANI CIVIL LINES,
2.9.3.5.,,,,,,BHIWANI SADAR,
2.9.3.6.,,,,,,"Cyber Crime Police Station, Bhiwani",
2.9.3.7.,,,,,,JUI KALAN PS BHIWANI,
2.9.3.8.,,,,,,LOHARU,
2.9.3.9.,,,,,,"PS INDUSTRIAL AREA, BHIWANI",
2.9.3.10.,,,,,,SIWANI,
2.9.3.11.,,,,,,TOSHAM,
2.9.3.12.,,,,,,"WOMEN POLICE STATION, BHIWANI",
2.9.3.13.,,,,,,ABVT STAFF,
2.9.3.14.,,,,,,ADR Centre,
2.9.3.15.,,,,,,ANC,
2.9.3.16.,,,,,,Challaning Branch,
2.9.3.17.,,,,,,CIA,
2.9.3.18.,,,,,,Couple Protection Cell,
2.9.3.19.,,,,,,Court Security,
2.9.3.20.,,,,,,Deputation,
2.9.3.21.,,,,,,DPO,
2.9.3.22.,,,,,,EOW,
2.9.3.23.,,,,,,GO Staffs,
2.9.3.24.,,,,,,Gunmen,
2.9.3.25.,,,,,,Head Proficient,
2.9.3.26.,,,,,,Judicial Lockup,
2.9.3.27.,,,,,,Missing Person Cell,
2.9.3.28.,,,,,,Naib Court,
2.9.3.29.,,,,,,Naib Court (Civil),
2.9.3.30.,,,,,,Pairvi Cell,
2.9.3.31.,,,,,,PO STAFF,
2.9.3.32.,,,,,,Police Lines,
2.9.3.33.,,,,,,Prisoner Escort Guard,
2.9.3.34.,,,,,,PS TRAFFIC,
2.9.3.35.,,,,,,Standing Guard,
2.9.3.36.,,,,,,Summon Staff,
2.9.3.37.,,,,,,Temporary Posting (with order),
2.9.3.38.,,,,,,Temporary Posting (without order),
2.9.3.39.,,,,,,TRAFFIC,
2.9.3.40.,,,,,,Training Courses,
2.10.,,South Range,,,,,
2.10.1.,,,Rewari District,,,,
2.10.1.1.,,,,,,BAWAL,
2.10.1.2.,,,,,,DHARUHERA,
2.10.1.3.,,,,,,JATUSANA,
2.10.1.4.,,,,,,KASOLA,
2.10.1.5.,,,,,,KHOL,
2.10.1.6.,,,,,,KOSLI,
2.10.1.7.,,,,,,MODEL TOWN REWARI,
2.10.1.8.,,,,,,"POLICE STATION CYBER CRIME, REWARI",
2.10.1.9.,,,,,,RAMPURA,
2.10.1.10.,,,,,,REWARI CITY,
2.10.1.11.,,,,,,REWARI SADAR,
2.10.1.12.,,,,,,ROHADAI,
2.10.1.13.,,,,,,"SEC-6, DHARUHERA",
2.10.1.14.,,,,,,"WOMEN POLICE STATION, REWARI",
2.10.1.15.,,,,,,ABVT STAFF,
2.10.1.16.,,,,,,ADR Centre,
2.10.1.17.,,,,,,ANC,
2.10.1.18.,,,,,,Challaning Branch,
2.10.1.19.,,,,,,CIA,
2.10.1.20.,,,,,,Couple Protection Cell,
2.10.1.21.,,,,,,Court Security,
2.10.1.22.,,,,,,Deputation,
2.10.1.23.,,,,,,DPO,
2.10.1.24.,,,,,,EOW,
2.10.1.25.,,,,,,GO Staffs,
2.10.1.26.,,,,,,Gunmen,
2.10.1.27.,,,,,,Head Proficient,
2.10.1.28.,,,,,,Judicial Lockup,
2.10.1.29.,,,,,,Missing Person Cell,
2.10.1.30.,,,,,,Naib Court,
2.10.1.31.,,,,,,Naib Court (Civil),
2.10.1.32.,,,,,,Pairvi Cell,
2.10.1.33.,,,,,,PO STAFF,
2.10.1.34.,,,,,,Police Lines,
2.10.1.35.,,,,,,Prisoner Escort Guard,
2.10.1.36.,,,,,,PS TRAFFIC,
2.10.1.37.,,,,,,Standing Guard,
2.10.1.38.,,,,,,Summon Staff,
2.10.1.39.,,,,,,Temporary Posting (with order),
2.10.1.40.,,,,,,Temporary Posting (without order),
2.10.1.41.,,,,,,TRAFFIC,
2.10.1.42.,,,,,,Training Courses,
2.10.2.,,,Nuh District,,,,
2.10.2.1.,,,,,,BICCHOR,
2.10.2.2.,,,,,,CITY NUH,
2.10.2.3.,,,,,,CITY TAURU,
2.10.2.4.,,,,,,FEROZEPUR JHIRKA,
2.10.2.5.,,,,,,NAGINA,
2.10.2.6.,,,,,,PINANGWA,
2.10.2.7.,,,,,,PS Akera,
2.10.2.8.,,,,,,PS City Firozpur Jhirka,
2.10.2.9.,,,,,,PS City Punhana,
2.10.2.10.,,,,,,PS Cyber Crime Nuh(Mewat),
2.10.2.11.,,,,,,PS Mohammadpur Ahir,
2.10.2.12.,,,,,,PUNHANA,
2.10.2.13.,,,,,,ROZKA MEO,
2.10.2.14.,,,,,,SADAR NUH,
2.10.2.15.,,,,,,SADAR TAURU,
2.10.2.16.,,,,,,"WOMEN POLICE STATION, MEWAT",
2.10.2.17.,,,,,,ABVT STAFF,
2.10.2.18.,,,,,,ADR Centre,
2.10.2.19.,,,,,,ANC,
2.10.2.20.,,,,,,Challaning Branch,
2.10.2.21.,,,,,,CIA,
2.10.2.22.,,,,,,Couple Protection Cell,
2.10.2.23.,,,,,,Court Security,
2.10.2.24.,,,,,,Deputation,
2.10.2.25.,,,,,,DPO,
2.10.2.26.,,,,,,EOW,
2.10.2.27.,,,,,,GO Staffs,
2.10.2.28.,,,,,,Gunmen,
2.10.2.29.,,,,,,Head Proficient,
2.10.2.30.,,,,,,Judicial Lockup,
2.10.2.31.,,,,,,Missing Person Cell,
2.10.2.32.,,,,,,Naib Court,
2.10.2.33.,,,,,,Naib Court (Civil),
2.10.2.34.,,,,,,Pairvi Cell,
2.10.2.35.,,,,,,PO STAFF,
2.10.2.36.,,,,,,Police Lines,
2.10.2.37.,,,,,,Prisoner Escort Guard,
2.10.2.38.,,,,,,PS TRAFFIC,
2.10.2.39.,,,,,,Standing Guard,
2.10.2.40.,,,,,,Summon Staff,
2.10.2.41.,,,,,,Temporary Posting (with order),
2.10.2.42.,,,,,,Temporary Posting (without order),
2.10.2.43.,,,,,,TRAFFIC,
2.10.2.44.,,,,,,Training Courses,
2.10.3.,,,Palwal District,,,,
2.10.3.1.,,,,,,BAHIN,
2.10.3.2.,,,,,,CAMP PALWAL,
2.10.3.3.,,,,,,CHAND HUT,
2.10.3.4.,,,,,,CITY PALWAL,
2.10.3.5.,,,,,,GADPURI,
2.10.3.6.,,,,,,HASSANPUR,
2.10.3.7.,,,,,,HATHIN,
2.10.3.8.,,,,,,HODAL,
2.10.3.9.,,,,,,MUNDKATI,
2.10.3.10.,,,,,,"PS Cyber Crime, District Palwal",
2.10.3.11.,,,,,,SADAR PALWAL,
2.10.3.12.,,,,,,UTAWAR,
2.10.3.13.,,,,,,"WOMEN POLICE STATION, PALWAL",
2.10.3.14.,,,,,,ABVT STAFF,
2.10.3.15.,,,,,,ADR Centre,
2.10.3.16.,,,,,,ANC,
2.10.3.17.,,,,,,Challaning Branch,
2.10.3.18.,,,,,,CIA,
2.10.3.19.,,,,,,Couple Protection Cell,
2.10.3.20.,,,,,,Court Security,
2.10.3.21.,,,,,,Deputation,
2.10.3.22.,,,,,,DPO,
2.10.3.23.,,,,,,EOW,
2.10.3.24.,,,,,,GO Staffs,
2.10.3.25.,,,,,,Gunmen,
2.10.3.26.,,,,,,Head Proficient,
2.10.3.27.,,,,,,Judicial Lockup,
2.10.3.28.,,,,,,Missing Person Cell,
2.10.3.29.,,,,,,Naib Court,
2.10.3.30.,,,,,,Naib Court (Civil),
2.10.3.31.,,,,,,Pairvi Cell,
2.10.3.32.,,,,,,PO STAFF,
2.10.3.33.,,,,,,Police Lines,
2.10.3.34.,,,,,,Prisoner Escort Guard,
2.10.3.35.,,,,,,PS TRAFFIC,
2.10.3.36.,,,,,,Standing Guard,
2.10.3.37.,,,,,,Summon Staff,
2.10.3.38.,,,,,,Temporary Posting (with order),
2.10.3.39.,,,,,,Temporary Posting (without order),
2.10.3.40.,,,,,,TRAFFIC,
2.10.3.41.,,,,,,Training Courses,
2.10.4.,,,Narnaul District,,,,
2.10.4.1.,,,,,,ATELI,
2.10.4.2.,,,,,,CITY KANINA,
2.10.4.3.,,,,,,CITY MAHENDERGARH,
2.10.4.4.,,,,,,CITY NARNAUL,
2.10.4.5.,,,,,,"CYBER POLICE STATION, MAHENDERGARH",
2.10.4.6.,,,,,,NANGAL CHAUDHRI,
2.10.4.7.,,,,,,NIZAMPUR,
2.10.4.8.,,,,,,SADAR KANINA,
2.10.4.9.,,,,,,SADAR MAHENDERGARH,
2.10.4.10.,,,,,,SADAR NARNAUL,
2.10.4.11.,,,,,,SATNALI,
2.10.4.12.,,,,,,"WOMEN POLICE STATION, NARNAUL",
2.10.4.13.,,,,,,ABVT STAFF,
2.10.4.14.,,,,,,ADR Centre,
2.10.4.15.,,,,,,ANC,
2.10.4.16.,,,,,,Challaning Branch,
2.10.4.17.,,,,,,CIA,
2.10.4.18.,,,,,,Couple Protection Cell,
2.10.4.19.,,,,,,Court Security,
2.10.4.20.,,,,,,Deputation,
2.10.4.21.,,,,,,DPO,
2.10.4.22.,,,,,,EOW,
2.10.4.23.,,,,,,GO Staffs,
2.10.4.24.,,,,,,Gunmen,
2.10.4.25.,,,,,,Head Proficient,
2.10.4.26.,,,,,,Judicial Lockup,
2.10.4.27.,,,,,,Missing Person Cell,
2.10.4.28.,,,,,,Naib Court,
2.10.4.29.,,,,,,Naib Court (Civil),
2.10.4.30.,,,,,,Pairvi Cell,
2.10.4.31.,,,,,,PO STAFF,
2.10.4.32.,,,,,,Police Lines,
2.10.4.33.,,,,,,Prisoner Escort Guard,
2.10.4.34.,,,,,,PS TRAFFIC,
2.10.4.35.,,,,,,Standing Guard,
2.10.4.36.,,,,,,Summon Staff,
2.10.4.37.,,,,,,Temporary Posting (with order),
2.10.4.38.,,,,,,Temporary Posting (without order),
2.10.4.39.,,,,,,TRAFFIC,
2.10.4.40.,,,,,,Training Courses,
2.11.,,IGP Railways and Commando,,,,,
2.11.1.,,,Railways District,,,,
2.11.1.1.,,,,,,GRP AMBALA Cantt,
2.11.1.2.,,,,,,GRP BAHADURGARH,
2.11.1.3.,,,,,,GRP CHANDIGARH,
2.11.1.4.,,,,,,GRP FARIDABAD,
2.11.1.5.,,,,,,GRP GURUGRAM,
2.11.1.6.,,,,,,GRP HISAR,
2.11.1.7.,,,,,,GRP JAGADHARI,
2.11.1.8.,,,,,,GRP JIND,
2.11.1.9.,,,,,,GRP KALKA,
2.11.1.10.,,,,,,GRP KARNAL,
2.11.1.11.,,,,,,GRP KURUKSHETRA,
2.11.1.12.,,,,,,GRP PANIPAT,
2.11.1.13.,,,,,,GRP REWARI,
2.11.1.14.,,,,,,GRP ROHTAK,
2.11.1.15.,,,,,,GRP SIRSA,
2.11.1.16.,,,,,,GRP SONIPAT,
2.11.1.17.,,,,,,ABVT STAFF,
2.11.1.18.,,,,,,ADR Centre,
2.11.1.19.,,,,,,ANC,
2.11.1.20.,,,,,,Challaning Branch,
2.11.1.21.,,,,,,CIA,
2.11.1.22.,,,,,,Couple Protection Cell,
2.11.1.23.,,,,,,Court Security,
2.11.1.24.,,,,,,Deputation,
2.11.1.25.,,,,,,DPO,
2.11.1.26.,,,,,,EOW,
2.11.1.27.,,,,,,GO Staffs,
2.11.1.28.,,,,,,Gunmen,
2.11.1.29.,,,,,,Head Proficient,
2.11.1.30.,,,,,,Judicial Lockup,
2.11.1.31.,,,,,,Missing Person Cell,
2.11.1.32.,,,,,,Naib Court,
2.11.1.33.,,,,,,Naib Court (Civil),
2.11.1.34.,,,,,,Pairvi Cell,
2.11.1.35.,,,,,,PO STAFF,
2.11.1.36.,,,,,,Police Lines,
2.11.1.37.,,,,,,Prisoner Escort Guard,
2.11.1.38.,,,,,,PS TRAFFIC,
2.11.1.39.,,,,,,Standing Guard,
2.11.1.40.,,,,,,Summon Staff,
2.11.1.41.,,,,,,Temporary Posting (with order),
2.11.1.42.,,,,,,Temporary Posting (without order),
2.11.1.43.,,,,,,TRAFFIC,
2.11.1.44.,,,,,,Training Courses,
3,Training Centres,,,,,,
3.1.,,Women PTC Hisar,,,,,
3.2.,,HPA,,,,,
3.3.,,"RTC, Bhondsi",,,,,
3.4.,,"PTC, Sunaria",,,,,
4,Armed Police,,,,,,
4.1.,,HAP,,,,,
4.1.1,,,IG HAP,,,,
4.1.2,,,1st Bn HAP,,,,
4.1.3,,,2nd Bn HAP,,,,
4.1.4,,,3rd Bn HAP,,,,
4.1.5,,,4th Bn HAP,,,,
4.1.6,,,5th Bn HAP,,,,
4.1.7,,,DSRAF,,,,
4.2.,,IRB,,,,,
4.2.1.,,,IG IRB,,,,
4.2.2,,,1st Bn IRB,,,,
4.2.3,,,2nd Bn IRB,,,,
4.2.4,,,3rd Bn IRB,,,,
4.2.5,,,4th Bn IRB,,,,
5,Forensic Labs,,,,,,
5.1,,FSL Madhuban,,,,,
5.2,,RFSL Sunaria,,,,,
5.3,,RFSL Hisar,,,,,
5.4,,RFSL Bhondsi,,,,,
5.5,,Cyber Lab Panchkula,,,,,
6,Specialised/Deputation Units,,,,,,
6.1.,,Commando,,,,,
6.2.,,Telecom,,,,,
6.3.,,CID,,,,,
6.4.,,HSDRF,,,,,
6.5.,,SCRB,,,,,
6.6.,,ACB,,,,,
6.7.,,HSEnB,,,,,
6.8.,,State Crime Branch,,,,,
6.9.,,Cyber Crime Branch,,,,,
6.10.,,HSNCB,,,,,
6.11.,,STF,,,,,
6.12.,,TRAFFIC & HIGHWAYS,,,,,
6.13.,,SPCA,,,,,
6.14.,,HHRC,,,,,
6.15.,,ATS,,,,,
6.16.,,HOME GUARD,,,,,
6.17.,,CPT&R,,,,,
6.18.,,VIGILANCE & SECURITY,,,,,
6.19.,,ERSS,,,,,
6.20.,,CSO,,,,,
